subject_id	sid_hash	phase	trial	house_type
85	890b6f	practice	16	column
85	890b6f	practice	17	column
85	890b6f	practice	18	column
85	890b6f	practice	19	column
85	890b6f	practice	20	column
85	890b6f	practice	21	column
85	890b6f	practice	22	column
85	890b6f	practice	23	column
85	890b6f	practice	24	column
85	890b6f	practice	25	column
85	890b6f	questionnaire	1	column
85	890b6f	test	1	row
85	890b6f	test	2	row
85	890b6f	test	3	row
85	890b6f	test	4	column
85	890b6f	test	5	column
85	890b6f	test	6	row
85	890b6f	test	7	column
85	890b6f	test	8	column
85	890b6f	test	9	row
85	890b6f	test	10	row
85	890b6f	test	11	column
85	890b6f	test	12	column
85	890b6f	test	13	row
85	890b6f	test	14	column
85	890b6f	test	15	column
85	890b6f	test	16	row
85	890b6f	test	17	column
85	890b6f	test	18	row
85	890b6f	test	19	row
85	890b6f	test	20	row
85	890b6f	test	21	column
85	890b6f	test	22	column
85	890b6f	test	23	row
85	890b6f	test	24	column
85	890b6f	test	25	row
85	890b6f	test	26	column
85	890b6f	test	27	column
85	890b6f	test	28	row
85	890b6f	test	29	column
85	890b6f	test	30	column
85	890b6f	test	31	row
85	890b6f	test	32	row
85	890b6f	test	33	column
85	890b6f	test	34	column
85	890b6f	test	35	row
85	890b6f	test	36	row
85	890b6f	test	37	row
85	890b6f	test	38	column
85	890b6f	test	39	column
85	890b6f	test	40	row
85	890b6f	test	41	column
85	890b6f	test	42	column
85	890b6f	test	43	row
85	890b6f	test	44	column
85	890b6f	test	45	column
85	890b6f	test	46	row
85	890b6f	test	47	row
85	890b6f	test	48	row
85	890b6f	test	49	row
85	890b6f	test	50	column
85	890b6f	test	51	column
85	890b6f	test	52	row
85	890b6f	test	53	row
85	890b6f	test	54	row
85	890b6f	test	55	column
85	890b6f	test	56	column
85	890b6f	test	57	column
85	890b6f	test	58	row
85	890b6f	test	59	column
85	890b6f	test	60	column
85	890b6f	test	61	row
85	890b6f	test	62	row
85	890b6f	test	63	row
85	890b6f	test	64	column
86	0cfd85	practice	1	row
86	0cfd85	practice	2	row
86	0cfd85	practice	3	row
86	0cfd85	practice	4	row
86	0cfd85	practice	5	row
86	0cfd85	practice	6	row
86	0cfd85	practice	7	row
86	0cfd85	practice	8	row
86	0cfd85	practice	9	row
86	0cfd85	practice	10	row
86	0cfd85	practice	11	row
86	0cfd85	practice	12	row
86	0cfd85	practice	13	row
86	0cfd85	practice	14	row
86	0cfd85	practice	15	row
86	0cfd85	practice	16	row
86	0cfd85	practice	17	row
86	0cfd85	practice	18	row
86	0cfd85	practice	19	row
86	0cfd85	practice	20	row
86	0cfd85	practice	21	row
86	0cfd85	practice	22	row
86	0cfd85	practice	23	row
86	0cfd85	practice	24	row
86	0cfd85	practice	25	row
86	0cfd85	questionnaire	1	row
86	0cfd85	test	1	row
86	0cfd85	test	2	column
86	0cfd85	test	3	row
86	0cfd85	test	4	column
86	0cfd85	test	5	column
86	0cfd85	test	6	column
86	0cfd85	test	7	row
86	0cfd85	test	8	row
86	0cfd85	test	9	column
86	0cfd85	test	10	row
86	0cfd85	test	11	column
86	0cfd85	test	12	column
86	0cfd85	test	13	column
86	0cfd85	test	14	row
86	0cfd85	test	15	row
86	0cfd85	test	16	row
86	0cfd85	test	17	row
86	0cfd85	test	18	row
86	0cfd85	test	19	column
86	0cfd85	test	20	row
86	0cfd85	test	21	column
86	0cfd85	test	22	column
86	0cfd85	test	23	column
