subject_id	rank	probability
56	4	0.03851232
57	4	0.027033906
58	4	0.05447085
59	4	0.050364677
60	4	0.026456764
61	4	0.012688713
62	4	0.05039205
63	4	0.045495447
64	4	0.055662543
65	4	0.05678615
66	4	0.009887868
67	4	0.08196033
68	4	0.050933562
69	4	0.053550556
70	4	0.057323538
71	4	0.06271379
72	4	0.04536171
73	4	0.05433246
74	4	0.044068247
75	4	0.025870044
76	4	0.04551906
77	4	0.033068478
78	4	0.047251772
79	4	0.0433365
80	4	0.0654722
81	4	0.063946016
82	4	0.045076583
83	4	0.064786084
84	4	0.073066175
85	4	0.04719201
86	4	0.04959834
87	4	0.05063293
88	4	0.047965266
